FID,code,timestamp,air_pressure,air_temperature_avg,air_temperature_max,air_temperature_min,relative_humidity,precipitation,wind_speed,qc_flags,the_geom
aws_1day.6418.2017-11-18 00:00:00.0,6418,2017-11-18T00:00:00,1020,9,10,8,69,0,8,"{""pres_flag"":1  
            ,   ""temp_flag"": 1
            ,    ""hum_flag"": 1
            ,    ""precip_flag"": 1
            ,    ""wSpeed_flag"": 0
              }",POINT (3.201846 51.347375)
aws_1day.6472.2017-11-18 00:00:00.0,6472,2017-11-18T00:00:00,987,2,6,-2,95,2,3,"{""pres_flag"":1  
            ,   ""temp_flag"": 1
            ,    ""hum_flag"": 1
            ,    ""precip_flag"": -1
            ,    ""wSpeed_flag"": 0
              }",POINT (5.255236 50.193663)
aws_1day.6418.2017-11-19 00:00:00.0,6418,2017-11-19T00:00:00,1020,8,10,5,65,0,7,"{""pres_flag"":1  
            ,   ""temp_flag"": 1
            ,    ""hum_flag"": 1
            ,    ""precip_flag"": 1
            ,    ""wSpeed_flag"": 0
              }",POINT (3.201846 51.347375)
aws_1day.6472.2017-11-19 00:00:00.0,6472,2017-11-19T00:00:00,986,3,6,0,87,0,4,"{""pres_flag"":1  
            ,   ""temp_flag"": 1
            ,    ""hum_flag"": 1
            ,    ""precip_flag"": -1
            ,    ""wSpeed_flag"": 0
              }",POINT (5.255236 50.193663)
aws_1day.6418.2017-11-20 00:00:00.0,6418,2017-11-20T00:00:00,1014,9,12,5,90,0,7,"{""pres_flag"":1  
            ,   ""temp_flag"": 1
            ,    ""hum_flag"": 1
            ,    ""precip_flag"": 1
            ,    ""wSpeed_flag"": 0
              }",POINT (3.201846 51.347375)
aws_1day.6472.2017-11-20 00:00:00.0,6472,2017-11-20T00:00:00,984,4,8,-1,97,6,5,"{""pres_flag"":1  
            ,   ""temp_flag"": 1
            ,    ""hum_flag"": 1
            ,    ""precip_flag"": -1
            ,    ""wSpeed_flag"": 0
              }",POINT (5.255236 50.193663)
aws_1day.6418.2017-11-21 00:00:00.0,6418,2017-11-21T00:00:00,1009,12,13,11,90,1,8,"{""pres_flag"":1  
            ,   ""temp_flag"": 1
            ,    ""hum_flag"": 1
            ,    ""precip_flag"": 1
            ,    ""wSpeed_flag"": 0
              }",POINT (3.201846 51.347375)
aws_1day.6472.2017-11-21 00:00:00.0,6472,2017-11-21T00:00:00,980,8,9,7,95,2,6,"{""pres_flag"":1  
            ,   ""temp_flag"": 1
            ,    ""hum_flag"": 1
            ,    ""precip_flag"": -1
            ,    ""wSpeed_flag"": 0
              }",POINT (5.255236 50.193663)
aws_1day.6418.2017-11-22 00:00:00.0,6418,2017-11-22T00:00:00,1001,12,13,11,74,0,10,"{""pres_flag"":1  
            ,   ""temp_flag"": 1
            ,    ""hum_flag"": 1
            ,    ""precip_flag"": 1
            ,    ""wSpeed_flag"": 0
              }",POINT (3.201846 51.347375)
aws_1day.6472.2017-11-22 00:00:00.0,6472,2017-11-22T00:00:00,974,9,11,8,74,0,6,"{""pres_flag"":1  
            ,   ""temp_flag"": 1
            ,    ""hum_flag"": 1
            ,    ""precip_flag"": 1
            ,    ""wSpeed_flag"": 0
              }",POINT (5.255236 50.193663)
aws_1day.6418.2017-11-23 00:00:00.0,6418,2017-11-23T00:00:00,999,11,13,9,74,2,10,"{""pres_flag"":1  
            ,   ""temp_flag"": 1
            ,    ""hum_flag"": 1
            ,    ""precip_flag"": 1
            ,    ""wSpeed_flag"": 0
              }",POINT (3.201846 51.347375)
aws_1day.6472.2017-11-23 00:00:00.0,6472,2017-11-23T00:00:00,972,11,14,8,75,2,7,"{""pres_flag"":1  
            ,   ""temp_flag"": 1
            ,    ""hum_flag"": 1
            ,    ""precip_flag"": -1
            ,    ""wSpeed_flag"": 0
              }",POINT (5.255236 50.193663)
aws_1day.6418.2017-11-24 00:00:00.0,6418,2017-11-24T00:00:00,1009,8,11,6,81,4,3,"{""pres_flag"":1  
            ,   ""temp_flag"": 1
            ,    ""hum_flag"": 1
            ,    ""precip_flag"": 1
            ,    ""wSpeed_flag"": 0
              }",POINT (3.201846 51.347375)
aws_1day.6472.2017-11-24 00:00:00.0,6472,2017-11-24T00:00:00,975,7,11,4,94,7,3,"{""pres_flag"":1  
            ,   ""temp_flag"": 1
            ,    ""hum_flag"": 1
            ,    ""precip_flag"": -1
            ,    ""wSpeed_flag"": 0
              }",POINT (5.255236 50.193663)
aws_1day.6418.2017-11-25 00:00:00.0,6418,2017-11-25T00:00:00,1013,6,8,5,74,1,6,"{""pres_flag"":1  
            ,   ""temp_flag"": 1
            ,    ""hum_flag"": 1
            ,    ""precip_flag"": 1
            ,    ""wSpeed_flag"": 0
              }",POINT (3.201846 51.347375)
aws_1day.6472.2017-11-25 00:00:00.0,6472,2017-11-25T00:00:00,979,3,6,0,96,0,3,"{""pres_flag"":1  
            ,   ""temp_flag"": 1
            ,    ""hum_flag"": 1
            ,    ""precip_flag"": -1
            ,    ""wSpeed_flag"": 0
              }",POINT (5.255236 50.193663)
aws_1day.6418.2017-11-26 00:00:00.0,6418,2017-11-26T00:00:00,1020,7,8,6,71,0,8,"{""pres_flag"":1  
            ,   ""temp_flag"": 1
            ,    ""hum_flag"": 1
            ,    ""precip_flag"": 1
            ,    ""wSpeed_flag"": 0
              }",POINT (3.201846 51.347375)
aws_1day.6472.2017-11-26 00:00:00.0,6472,2017-11-26T00:00:00,988,1,3,-1,92,0,4,"{""pres_flag"":1  
            ,   ""temp_flag"": 1
            ,    ""hum_flag"": 1
            ,    ""precip_flag"": 1
            ,    ""wSpeed_flag"": 0
              }",POINT (5.255236 50.193663)
aws_1day.6418.2017-11-27 00:00:00.0,6418,2017-11-27T00:00:00,1011,8,11,5,85,12,8,"{""pres_flag"":1  
            ,   ""temp_flag"": 1
            ,    ""hum_flag"": 1
            ,    ""precip_flag"": 1
            ,    ""wSpeed_flag"": 0
              }",POINT (3.201846 51.347375)
aws_1day.6472.2017-11-27 00:00:00.0,6472,2017-11-27T00:00:00,982,4,7,0,95,15,6,"{""pres_flag"":0  
            ,   ""temp_flag"": 1
            ,    ""hum_flag"": 1
            ,    ""precip_flag"": -1
            ,    ""wSpeed_flag"": 0
              }",POINT (5.255236 50.193663)
aws_1day.6418.2017-11-28 00:00:00.0,6418,2017-11-28T00:00:00,1005,7,8,6,72,0,6,"{""pres_flag"":1  
            ,   ""temp_flag"": 1
            ,    ""hum_flag"": 1
            ,    ""precip_flag"": 1
            ,    ""wSpeed_flag"": 0
              }",POINT (3.201846 51.347375)
aws_1day.6472.2017-11-28 00:00:00.0,6472,2017-11-28T00:00:00,972,3,6,1,92,11,3,"{""pres_flag"":0  
            ,   ""temp_flag"": -1
            ,    ""hum_flag"": 0
            ,    ""precip_flag"": -1
            ,    ""wSpeed_flag"": 0
              }",POINT (5.255236 50.193663)
